,class,x,y,w,h,frameNo
6599,5,0.0486111,0.497266,0.0944444,0.107031,31246
6959,5,0.0388889,0.498047,0.075,0.105469,31247
8187,5,0.929861,0.519141,0.140278,0.135156,35635
7517,5,0.924306,0.522656,0.151389,0.132812,35636
7355,5,0.915278,0.516797,0.166667,0.135156,35637
3432,5,0.908333,0.518359,0.175,0.136719,35638
11301,5,0.885417,0.521875,0.223611,0.142188,35642
11045,5,0.879167,0.516406,0.241667,0.140625,35643
9745,5,0.872222,0.519141,0.25,0.138281,35644
9430,5,0.866667,0.520312,0.263889,0.140625,35645
8662,5,0.859722,0.514844,0.280556,0.140625,35646
2158,5,0.848611,0.51875,0.3,0.140625,35648
1848,5,0.839583,0.514453,0.315278,0.144531,35649
9729,5,0.834722,0.512891,0.327778,0.146094,35650
9433,5,0.829167,0.516016,0.336111,0.142969,35651
8651,5,0.820833,0.514844,0.352778,0.145313,35652
8961,5,0.814583,0.5125,0.3625,0.146875,35653
10259,5,0.809028,0.514063,0.376389,0.14375,35654
10512,5,0.803472,0.515234,0.3875,0.142969,35655
11313,5,0.797917,0.512891,0.398611,0.141406,35656
11018,5,0.789583,0.513281,0.4125,0.142188,35657
1071,5,0.784028,0.515234,0.423611,0.144531,35658
1327,5,0.779167,0.511328,0.433333,0.141406,35659
2147,5,0.773611,0.5125,0.444444,0.140625,35660
1857,5,0.76875,0.516406,0.456944,0.148438,35661
2669,5,0.761806,0.511719,0.473611,0.14375,35662
2924,5,0.7625,0.5125,0.475,0.140625,35663
1046,5,0.753472,0.512891,0.490278,0.144531,35664
1353,5,0.753472,0.512891,0.490278,0.144531,35665
541,5,0.740278,0.510938,0.513889,0.14375,35666
249,5,0.740278,0.510938,0.513889,0.14375,35667
10234,5,0.738194,0.512891,0.523611,0.142969,35668
10531,5,0.734722,0.5125,0.527778,0.148438,35669
1058,5,0.729861,0.511719,0.534722,0.145313,35670
1338,5,0.725,0.512891,0.544444,0.141406,35671
552,5,0.71875,0.513281,0.5625,0.153125,35672
241,5,0.703472,0.511719,0.593056,0.148438,35673
2132,5,0.704167,0.513281,0.586111,0.14375,35674
1875,5,0.699306,0.516016,0.598611,0.150781,35675
2660,5,0.695833,0.512891,0.605556,0.149219,35676
2930,5,0.68125,0.514844,0.634722,0.15,35677
9718,5,0.680556,0.514453,0.638889,0.150781,35678
9454,5,0.674306,0.512891,0.651389,0.147656,35679
10998,5,0.661111,0.511328,0.677778,0.146094,35680
11341,5,0.657639,0.514063,0.684722,0.151562,35681
10552,5,0.654861,0.511719,0.690278,0.146875,35682
10208,5,0.654861,0.5125,0.690278,0.146875,35683
8986,5,0.649306,0.512891,0.701389,0.153906,35684
8616,5,0.645139,0.510547,0.709722,0.152344,35685
9385,5,0.640278,0.509766,0.719444,0.141406,35686
9787,5,0.634722,0.509375,0.730556,0.151562,35687
2982,5,0.627778,0.507812,0.741667,0.148438,35688
2608,5,0.620139,0.507422,0.759722,0.146094,35689
8992,5,0.616667,0.510547,0.766667,0.144531,35690
8614,5,0.611806,0.508984,0.776389,0.150781,35691
9388,5,0.604861,0.508594,0.773611,0.14375,35692
9779,5,0.597222,0.508984,0.772222,0.142969,35693
10990,5,0.5875,0.507812,0.766667,0.145313,35694
11345,5,0.575694,0.505078,0.770833,0.144531,35695
10549,5,0.561806,0.507031,0.768056,0.14375,35696
