,class,x,y,w,h,frameNo
4400,5,0.784722,0.433203,0.422222,0.108594,40576
5702,5,0.796528,0.433594,0.398611,0.109375,40578
6813,5,0.814583,0.432031,0.370833,0.107813,40580
6975,5,0.823611,0.432813,0.352778,0.110937,40581
7564,5,0.833333,0.425,0.325,0.120312,40582
7428,5,0.839583,0.423047,0.315278,0.117969,40583
6341,5,0.840278,0.434766,0.313889,0.111719,40584
5629,5,0.859028,0.432813,0.273611,0.110937,40586
4478,5,0.877778,0.430078,0.241667,0.111719,40588
4377,5,0.890972,0.427734,0.215278,0.119531,40589
6335,5,0.899306,0.428516,0.195833,0.113281,40590
6244,5,0.907639,0.427734,0.181944,0.113281,40591
5607,5,0.914583,0.429688,0.1625,0.114063,40592
5730,5,0.925694,0.429688,0.145833,0.114063,40593
6819,5,0.938194,0.426562,0.123611,0.11875,40594
6955,5,0.938194,0.434375,0.120833,0.1125,40595
8733,5,0.952778,0.454297,0.0916667,0.122656,45887
2674,5,0.9375,0.448047,0.125,0.124219,45889
8269,5,0.923611,0.451172,0.152778,0.130469,45891
8995,5,0.91875,0.446484,0.1625,0.133594,45892
8749,5,0.911111,0.441406,0.177778,0.142188,45893
10482,5,0.902083,0.447266,0.195833,0.136719,45894
10178,5,0.895139,0.444531,0.209722,0.140625,45895
9449,5,0.888194,0.440234,0.220833,0.139844,45896
9741,5,0.875694,0.447266,0.245833,0.132031,45897
513,5,0.876389,0.435937,0.238889,0.145313,45898
232,5,0.859028,0.448828,0.276389,0.132031,45899
1581,5,0.859722,0.440234,0.277778,0.142969,45900
2072,5,0.845833,0.448438,0.3,0.13125,45901
2799,5,0.85,0.439844,0.294444,0.151562,45902
2282,5,0.834028,0.441797,0.326389,0.127344,45903
1348,5,0.827778,0.442187,0.336111,0.140625,45904
865,5,0.818056,0.442578,0.358333,0.135156,45905
106,5,0.811806,0.439844,0.368056,0.146875,45906
617,5,0.806944,0.44375,0.386111,0.129688,45907
